ID,gender,age,registration,belong_to_cooperative,county,subcounty,ward,trainer,first_training_date,topics_list,num_total_trainings,num_repeat_trainings,days_to_second_training,num_unique_trainers,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days,has_second_training
ID_ZQIT2V,Male,Above 35,Manual,0,Nandi,Mosop,Kabisaga,trainer_name_5,2024-04-17,"['Dairy Hygiene, Health And Feeds,Kienyeji Poultry Feeds,Poultry Housing,Record Keeping In Dairy', 'Poultry Housing', 'Dairy Hygiene, Health And Feeds', 'Record Keeping In Dairy', 'Kienyeji Poultry Feeds']",5,4,0.0,1,0,0,0,1
ID_XC3G6B,Female,Above 35,Ussd,0,Machakos,Matungulu,Matungulu East,trainer_name_3,2024-04-08,"['Herd Health', 'How To Succeed In Breeding', 'Poultry Management Practices', 'Poultry Feeding', 'Goat Management Practices', 'The Benefits Of Ndume App', 'Disadvantages Of Natural Mating.', 'Poultry Management Practises.', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Infertility In Dairy Cows', 'Deworming Your Dairy Animal', 'Poultry Health Mngt', 'Herd Health. Management', 'Pest And Disease Management In Maize And Beans', 'Weed Management In Maize And Beans', 'Sheep & Goat Rearing', 'Clean Energy With Sistema Biogas', 'Pest And Disease Management In Crops', 'Harvesting And Post Harvesting', 'Livestock Management Practices', 'Pest And Diseases At Harvesting Stage']",22,21,0.0,1,0,0,0,1
ID_LR3ET1,Female,Above 35,Ussd,1,Nandi,Mosop,Kabiyet,trainer_name_5,2024-04-14,"['Asili Fertilizer (Organic),Benfits Of Sistema Biogas,Biosecurity In Poultry Farming,Calf Feeding,Dairy Feed Management,Dairy Hygiene, Health And Feeds,Dairy Nutrition With Tyari,Feed For Layers,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,How To Rear Healthy Chicken With Biodeal,How To Rear Healthy Chicken With Biodeal.,Importance Of Choosing The Right Seed Variety,Kienyeji Poultry Feeds,Livestock Management Practices.,Milking Hygiene,Personal Protective Equipment (Ppe),Pest And Disease Management In Maize And Beans,Poultry And Dairy Feeding With Tyari Feeds,Poultry Diseases And Biosecurity,Poultry Feed And Water Management,Poultry Feeding,Poultry Feeding With Tyari,Record Keeping In Poultry,Successfull Breeding With Crv,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving,Weed Management In Maize And Beans', 'Kienyeji Poultry Feeds', 'Feed For Layers', 'Dairy Hygiene, Health And Feeds', 'How To Rear Healthy Chicken With Biodeal', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Record Keeping In Poultry', 'Calf Feeding', 'Feeding A Lactating Cow', 'Biosecurity In Poultry Farming', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear Healthy Chicken With Biodeal.', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Poultry Feeding', 'Poultry Diseases And Biosecurity', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Dairy Nutrition With Tyari', 'Poultry Feeding With Tyari', 'Asili Fertilizer (Organic)', 'Importance Of Choosing The Right Seed Variety', 'Poultry And Dairy Feeding With Tyari Feeds', 'Successfull Breeding With Crv', 'Weed Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Benfits Of Sistema Biogas', 'Livestock Management Practices.', 'How To Manage Pest And Diseases At Harvesting Stage']",33,32,0.0,1,1,1,1,1
ID_3WSHOQ,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-14,"['Herd Health', 'Poultry Management Practices', 'How To Succeed In Breeding']",3,2,0.0,1,0,0,0,1
ID_FH1YFD,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-17,"['Herd Health', 'Poultry Management Practices', 'How To Succeed In Breeding', 'Reasons Why Ai Fails And Solutions', 'Poultry Mngt Practices', 'Herd Management', 'Feeding A Dairy Cow', 'Herd Health Management.', 'The Benefits Of Ndume App', 'Poultry Health Management.', 'Poultry Management Practises.', 'Poultry Health Management..', 'Poultry Management Practises..', 'Deworming Your Dairy Animal', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Poultry Health Management. Practices', 'Importance Of Mineral Supplementation', 'Pest And Disease Management In Crops', 'Harvesting And Post Harvesting', 'Importance Of Mineral Supplementation With Ckl', 'Clean Energy With Sistema Biogas']",24,23,0.0,1,0,0,0,1
ID_J4TDW9,Male,Above 35,Manual,0,Machakos,Mwala,Masii,trainer_name_3,2024-04-13,"['Poultry Feeding', 'Herd Health', 'Poultry Management Practices', 'How To Succeed In Breeding', 'Reasons Why Ai Fails And Solutions', 'Sheep And Goat Management Practices', 'Poultry Mngt Practices']",7,6,0.0,1,0,0,0,1
ID_ACIXJ8,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-01,"['How To Succeed In Breeding', 'Poultry Management Practices', 'Yara Maziwa Pro', 'Microp+ Planting']",4,3,0.0,1,0,0,0,1
ID_WQIFW2,Male,Above 35,Ussd,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-04-24,"['Biodeal Dairy', 'Biodeal Poultry', 'Disadvantages Of Natural Mating', 'Herd Health', 'Herd Health Management.', 'The Benefits Of Ndume App', 'Poultry Health Management.', 'Poultry Management Practises.']",8,7,0.0,1,0,0,0,1
ID_JUPMM0,Male,Above 35,Manual,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-04-08,"['Poultry Feeding', 'Poultry Management Practices', 'How To Succeed In Breeding', 'Biodeal Poultry', 'Herd Health', 'Biodeal Dairy']",6,5,0.0,1,0,0,0,1
ID_LMNNWN,Female,Above 35,Manual,1,Siaya,Alego Usonga,South East Alego,trainer_name_8,2024-04-10,"['Dairy Health Management,Dairy Housing,Diseases In Dairy Farming,Poultry Health Management,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_7HZWSN,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu East,trainer_name_3,2024-04-09,"['Herd Health', 'Disadvantages Of Natural Mating', 'The Benefits Of Ndume App', 'Poultry Management Practises.', 'Poultry Management Practises..', 'Goat Management Practices', 'Disadvantages Of Natural Mating.']",7,6,52.0,1,0,0,0,1
ID_ZPB5LY,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-17,"['Herd Health', 'Poultry Management Practices', 'How To Succeed In Breeding', 'Reasons Why Ai Fails And Solutions', 'Poultry Mngt Practices', 'Herd Management', 'Feeding A Dairy Cow', 'Poultry Management Practises..', 'Poultry Health Management..', 'The Benefits Of Ndume App', 'Herd Health Management.', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Poultry Health Management. Practices', 'Importance Of Mineral Supplementation', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Pest And Disease Management In Crops', 'Harvesting And Post Harvesting', 'Importance Of Mineral Supplementation With Ckl']",21,20,0.0,1,0,0,0,1
ID_JBIISP,Male,Above 35,Manual,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_5,2024-04-30,"['Dairy Health, Hygiene And Feeds,How To Rear Healthy Chicken With Biodeal,Kienyeji Poultry Feeds,Unga Dairy Feeds, Hygiene And Health Products', 'Dairy Health, Hygiene And Feeds', 'Kienyeji Poultry Feeds', 'Unga Dairy Feeds, Hygiene And Health Products', 'How To Rear Healthy Chicken With Biodeal']",5,4,0.0,1,0,0,0,1
ID_ESQ7CM,Female,Above 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-16,"['How To Succeed In Breeding', 'Poultry Management Practices', 'Herd Health', 'The Benefits Of Ndume App', 'Herd Health Management.', 'Poultry Health Management.', 'Poultry Management Practises.', 'Poultry Management Practises..', 'Poultry Health Management..', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Dairy Hygiene', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Poultry Health Management. Practices', 'Importance Of Mineral Supplementation', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Mineral Supplementation With Ckl', 'Harvesting And Post Harvesting', 'Pest And Disease Management In Crops']",22,21,0.0,1,1,1,1,1
ID_IAOKKI,Female,Below 35,Manual,0,Bungoma,Kanduyi,Marakaru/Tuuti,trainer_name_2,2024-04-26,['Herd Health'],1,0,,1,0,0,0,0
ID_9P4IJ8,Male,Above 35,Ussd,0,Machakos,Mwala,Masii,trainer_name_3,2024-04-12,"['How To Succeed In Breeding', 'Herd Health', 'Poultry Feeding', 'Poultry Management Practices', 'Reasons Why Ai Fails And Solutions']",5,4,0.0,1,0,0,0,1
ID_0LUF48,Male,Above 35,Manual,1,Siaya,Alego Usonga,West Alego,trainer_name_8,2024-04-01,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_ES4ZSS,Female,Above 35,Manual,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-04-06,"['How To Succeed In Breeding,Poultry Management Practices']",1,0,,1,0,0,0,0
ID_CR4IJL,Female,Above 35,Ussd,0,Siaya,Alego Usonga,Siaya Township,trainer_name_8,2024-04-30,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_NSUKRH,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-04-18,"['How To Succeed In Breeding', 'Poultry Management Practices', 'Poultry Feeding', 'Herd Health', 'Sheep And Goat Management Practices', 'Disadvantages Of Natural Mating', 'Ndume App', 'Disadvantages Of Natural Mating.', 'Poultry Management Practises.', 'The Benefits Of Ndume App', 'Sheep And Goat Management Practices', 'Antimicrobial Resistance', 'Infertility In Dairy Cows', 'Deworming Your Dairy Animal', 'Herd. Health. Management', 'Sheep And Goat Rearing', 'Poultry Health Management. Practices', 'Herd Health. Management', 'Sheep & Goats Management', 'Poultry And Dairy Feeding With Tyari Feeds', 'Animal Management Practices', 'Asili Fertilizer (Organic)', 'Sheep & Goat Rearing', 'Weed Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Livestock Management Practices', 'How To Manage Pest And Diseases At Harvesting Stage', 'Benefits Of Sistema Biogas', 'General Livestock Management']",29,28,0.0,1,0,0,0,1
ID_8A072B,Female,Above 35,Ussd,1,Nandi,Mosop,Kabiyet,trainer_name_5,2024-04-15,"['Asili Fertilizer (Organic),Benfits Of Sistema Biogas,Biosecurity In Poultry Farming,Calf Feeding,Control Of External Parasites With Dominex.,Dairy Hygiene, Health And Feeds,Dairy Nutrition With Tyari,Feed For Layers,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,How To Rear Healthy Chicken With Biodeal.,Importance Of Choosing The Right Seed Variety,Importance Of Vaccinations And Record,Kienyeji Poultry Feeds,Livestock Management Practices,Livestock Management Practices.,Milking Hygiene,Personal Protective Equipment (Ppe),Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry And Dairy Feeding With Tyari Feeds,Poultry Diseases And Biosecurity,Poultry Feeding,Poultry Feeding With Tyari,Successfull Breeding With Crv,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving,Weed Management In Maize And Beans', 'Asili Fertilizer (Organic),Benfits Of Sistema Biogas,Biosecurity In Poultry Farming,Calf Feeding,Control Of External Parasites With Dominex.,Dairy Hygiene, Health And Feeds,Dairy Nutrition With Tyari,Feed For Layers,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,How To Rear Healthy Chicken With Biodeal.,Importance Of Choosing The Right Seed Variety,Importance Of Vaccinations And Record,Kienyeji Poultry Feeds,Livestock Management Practices,Livestock Management Practices.,Milking Hygiene,Personal Protective Equipment (Ppe),Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry And Dairy Feeding With Tyari Feeds,Poultry Diseases And Biosecurity,Poultry Feeding,Poultry Feeding With Tyari,Successfull Breeding With Crv,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving,Weed Management In Maize And Beans', 'Kienyeji Poultry Feeds', 'Kienyeji Poultry Feeds', 'Dairy Hygiene, Health And Feeds', 'Dairy Hygiene, Health And Feeds', 'Feed For Layers', 'Feed For Layers', 'Feeding A Lactating Cow', 'Feeding A Lactating Cow', 'Biosecurity In Poultry Farming', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Calf Feeding', 'How To Rear A Calf With Unga Products', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'How To Feed Kienyeji Chicken For Meat', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear Healthy Chicken With Biodeal.', 'How To Rear Healthy Chicken With Biodeal.', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'How To Feed Kienyeji Chicken For Meat', 'Poultry Feeding', 'Poultry Feeding', 'Poultry Diseases And Biosecurity', 'Poultry Diseases And Biosecurity', 'Personal Protective Equipment (Ppe)', 'Personal Protective Equipment (Ppe)', 'Milking Hygiene', 'Milking Hygiene', 'Dairy Nutrition With Tyari', 'Dairy Nutrition With Tyari', 'Poultry Feeding With Tyari', 'Poultry Feeding With Tyari', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Asili Fertilizer (Organic)', 'Importance Of Vaccinations And Record', 'Importance Of Vaccinations And Record', 'Successfull Breeding With Crv', 'Successfull Breeding With Crv', 'Weed Management In Maize And Beans', 'Weed Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Control Of External Parasites With Dominex.', 'Control Of External Parasites With Dominex.', 'Livestock Management Practices', 'Livestock Management Practices', 'Pest And Diseases At Harvesting Stage', 'Pest And Diseases At Harvesting Stage', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.', 'Livestock Management Practices.', 'Benfits Of Sistema Biogas', 'Benfits Of Sistema Biogas']",66,65,0.0,1,1,1,1,1
ID_FLA5LE,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu North,trainer_name_3,2024-04-11,"['Poultry Feeding', 'Poultry Management Practices', 'How To Succeed In Breeding']",3,2,0.0,1,0,0,0,1
ID_FWU61G,Male,Above 35,Ussd,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_5,2024-04-21,"['Benefits Of Sistema Biogas,Benfits Of Sistema Biogas,Biodeal Poultry,Control Of External Parasites With Dominex.,Dairy Feed Management,Dairy Hygiene, Health And Feeds,Feed For Layers,General Livestock Management,How To Feed Kienyeji Chicken For Meat,How To Feed Kienyeji Chicken From 1 Day Old To Maturity,How To Feed Layers From 1 Day Old To Maturity,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,How To Rear Healthy Chicken With Biodeal,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Kienyeji Poultry Feeds,Livestock Management Practices.,Microp+ Topdressing,Pest And Disease Management In Maize And Beans,Poultry Feed And Water Management,Record Keeping In Poultry,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Biodeal Poultry', 'Dairy Hygiene, Health And Feeds', 'Feed For Layers', 'Kienyeji Poultry Feeds', 'Microp+ Topdressing', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Record Keeping In Poultry', 'How To Rear Healthy Chicken With Biodeal', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Importance Of Vaccinating Against East Coast Fever (Ecf)', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinations And Record', 'Control Of External Parasites With Dominex.', 'Benfits Of Sistema Biogas', 'Livestock Management Practices.', 'How To Manage Pest And Diseases At Harvesting Stage', 'General Livestock Management', 'Benefits Of Sistema Biogas']",24,23,0.0,1,0,0,0,1
ID_P9Q75G,Female,Below 35,Ussd,0,Machakos,Matungulu,Matungulu North,trainer_name_3,2024-04-17,"['Herd Health', 'Poultry Management Practices', 'Poultry Feeding', 'How To Succeed In Breeding', 'Biodeal Poultry']",5,4,0.0,1,0,0,0,1
ID_4PC1AP,Male,Above 35,Ussd,1,Nandi,Emgwen,Kilibwoni,trainer_name_5,2024-04-12,"['Dairy Housing,Kienyeji Poultry Feeds,Poultry Housing,Record Keeping In Dairy', 'Dairy Housing', 'Poultry Housing', 'Kienyeji Poultry Feeds', 'Record Keeping In Dairy']",5,4,0.0,1,0,0,0,1
ID_X1DS4O,Female,Above 35,Ussd,0,Machakos,Matungulu,Matungulu North,trainer_name_3,2024-04-17,"['Poultry Management Practices', 'How To Succeed In Breeding', 'Herd Health', 'Poultry Feeding', 'Goat Management Practices', 'Disadvantages Of Natural Mating.', 'The Benefits Of Ndume App', 'Poultry Management Practises..', 'Sheep And Goat Rearing', 'Herd. Health. Management', 'Pest And Disease Management In Maize And Beans', 'Weed Management In Maize And Beans', 'Sheep & Goat Rearing', 'Livestock Management Practices', 'Pest And Diseases At Harvesting Stage', 'Clean Energy With Sistema Biogas']",16,15,0.0,1,0,0,0,1
ID_PDVHVB,Female,Above 35,Ussd,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-04-24,"['Biodeal Dairy', 'Biodeal Dairy', 'Biodeal Poultry', 'Biodeal Poultry', 'Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Herd Health', 'Herd Health', 'Poultry Health Management.', 'Poultry Health Management.', 'Poultry Management Practises.', 'Poultry Management Practises.', 'Some Reasons Why Ai Fails And Solutions', 'Some Reasons Why Ai Fails And Solutions', 'Herd Management', 'Herd Management', 'Herd Health Management.', 'Herd Health Management.', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'Herd Health Practices With Biodeal Products.', 'Herd Health Practices With Biodeal Products.', 'How To Rear Healthy Chicken With Biodeal.', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Management Practises..', 'Poultry Management Practises..', 'Poultry Health Management..', 'Poultry Health Management..', 'Deworming And Record Keeping In Animal Health', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Why You Should Vaccinate Your Animals', 'Herd. Health. Management', 'Herd. Health. Management', 'Importance Of Mineral Supplementation', 'Importance Of Mineral Supplementation', 'Poultry Health With Biodeal', 'Poultry Health With Biodeal', 'Poultry Management. Practices', 'Poultry Management. Practices', 'Asili Fertilizer', 'Asili Fertilizer', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Asili Fertilizer (Organic)', 'Harvesting And Post Harvesting', 'Harvesting And Post Harvesting', 'Importance Of Mineral Supplementation With Ckl', 'Importance Of Mineral Supplementation With Ckl', 'Livestock Management Practices', 'Livestock Management Practices', 'Pest And Diseases At Harvesting Stage', 'Pest And Diseases At Harvesting Stage', 'Benfits Of Sistema Biogas', 'Benfits Of Sistema Biogas', 'Improved Maize & Bean Varieties From East Africa Seed', 'Improved Maize & Bean Varieties From East Africa Seed']",60,59,0.0,1,1,1,1,1
ID_DYF4OG,Female,Above 35,Manual,0,Machakos,Kangundo,Kangundo West,trainer_name_3,2024-04-30,"['Poultry Management Pract', 'Disadvantages Of Natural Mating', 'Poultry Feeding', 'Herd Health', 'Poultry Management Practices', 'Ndume App', 'Sheep And Goat Management Practices', 'Poultry Mngt Practices', 'Reasons Why Ai Fails And Solutions', 'Sheep And Goat Management Practices', 'How To Succeed In Breeding', 'Disadvantages Of Natural Mating.', 'Antimicrobial Resistance', 'Aflatoxin In Dairy Farming', 'Deworming Your Dairy Animal', 'Infertility In Dairy Cows', 'Poultry Health Management. Practices', 'Herd. Health. Management', 'Sheep And Goat Rearing', 'Sheep & Goat Rearing', 'Poultry And Dairy Feeding With Tyari Feeds', 'Pest And Disease Management In Maize And Beans', 'Weed Management In Maize And Beans', 'Pest And Disease Management In Crops', 'Clean Energy With Sistema Biogas', 'Weed Management In Crop', 'Livestock Management Practices', 'Pest And Diseases At Harvesting Stage', 'Benfits Of Sistema Biogas', 'Livestock Management With Biodeal Products', 'Pest & Disease Management During Production']",31,30,0.0,1,0,0,0,1
ID_D9O03K,Female,Above 35,Ussd,1,Siaya,Alego Usonga,West Alego,trainer_name_8,2024-04-01,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_5AFKEH,Male,Above 35,Ussd,0,Siaya,Alego Usonga,Central Alego,trainer_name_8,2024-04-02,"['Dairy Feed Management,Dairy Health Management,Dairy Housing,Diseases In Dairy Farming,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Health Management,Poultry Housing,Record Keeping In Dairy,Record Keeping In Poultry']",1,0,,1,0,0,0,0
ID_PXB397,Female,Above 35,Ussd,1,Siaya,Alego Usonga,North Alego,trainer_name_8,2024-04-25,"['Biosecurity In Poultry Farming,Calf Feeding,Dairy Housing,Feeding A Lactating Cow,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_FPNOEV,Female,Above 35,Manual,1,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_5,2024-04-10,"['Dairy Housing,Dairy Hygiene, Health And Feeds,Poultry Housing,Record Keeping In Dairy', 'Dairy Hygiene, Health And Feeds', 'Record Keeping In Dairy', 'Dairy Housing', 'Poultry Housing']",5,4,0.0,1,0,0,0,1
ID_TZ9DH9,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-04-10,['Poultry Feeding'],1,0,,1,0,0,0,0
ID_IO5BI9,Male,Above 35,Ussd,0,Machakos,Matungulu,Matungulu East,trainer_name_3,2024-04-08,"['How To Succeed In Breeding', 'Herd Health', 'Poultry Management Practices', 'Biodeal Poultry', 'Disadvantages Of Natural Mating', 'Disadvantages In Natural Mating', 'Herd Management', 'Goat Management Practices', 'The Benefits Of Ndume App', 'Disadvantages Of Natural Mating.', 'Poultry Management Practises.', 'Infertility In Dairy Cows', 'Dairy Hygiene', 'Aflatoxin In Dairy Farming', 'Poultry Health Mngt', 'Herd Health. Management', 'Sheep & Goat Rearing', 'Weed Management In Maize And Beans']",18,17,0.0,1,0,0,0,1
ID_J5OV8W,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-04-30,"['How To Succeed In Breeding', 'Reasons Why Ai Fails And Solutions', 'Poultry Mngt Practices', 'Herd Management', 'Feeding A Dairy Cow', 'Herd Health Management.', 'Poultry Health Management.', 'Poultry Management Practises.', 'Poultry Management Practises..', 'Poultry Health Management..', 'The Benefits Of Ndume App', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Poultry Health Management. Practices', 'Importance Of Mineral Supplementation', 'Poultry Management. Practices', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari', 'Asili Fertilizer (Organic)', 'Importance Of Mineral Supplementation With Ckl', 'Successfull Breeding With Crv', 'Harvesting And Post Harvesting']",22,21,36.0,1,1,1,1,1
ID_XIAOPO,Male,Below 35,Ussd,1,Siaya,Alego Usonga,South East Alego,trainer_name_8,2024-04-20,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_86CEOA,Female,Above 35,Manual,1,Siaya,Alego Usonga,West Alego,trainer_name_8,2024-04-13,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_ZO9O58,Female,Above 35,Manual,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-04-25,"['Disadvantages Of Natural Mating', 'Herd Health', 'Herd Health Practices', 'Reasons Why Ai Fails And Solutions', 'Herd Health Management.', 'The Benefits Of Ndume App', 'Poultry Health Management.', 'Poultry Management Practises.', 'Herd Health Practices With Biodeal Products.', 'Herd Health Practices With Biodeal Products.', 'Herd Health Management.', 'Poultry Management Practises..', 'Poultry Health Management..', 'Deworming Your Dairy Animal', 'Antimicrobial Resistance', 'Aflatoxin In Dairy Farming', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Poultry And Dairy Feeding With Tyari Feeds']",21,20,0.0,1,1,1,1,1
ID_6BEWXI,Female,Above 35,Ussd,1,Nandi,Mosop,Kabisaga,trainer_name_5,2024-04-05,"['Benfits Of Sistema Biogas,Control Of External Parasites With Dominex.,Dairy Housing,Dairy Hygiene, Health And Feeds,How To Manage Pest And Diseases At Harvesting Stage.,Importance Of Vaccinations And Record,Livestock Management Practices..,Pest And Disease Management In Crops,Poultry Housing,Record Keeping In Dairy', 'Dairy Hygiene, Health And Feeds', 'Record Keeping In Dairy', 'Dairy Housing', 'Poultry Housing', 'Pest And Disease Management In Crops', 'Importance Of Vaccinations And Record', 'Control Of External Parasites With Dominex.', 'Livestock Management Practices..', 'How To Manage Pest And Diseases At Harvesting Stage.', 'Benfits Of Sistema Biogas']",11,10,0.0,1,1,1,1,1
ID_ZWQZXQ,Female,Above 35,Manual,1,Siaya,Alego Usonga,Siaya Township,trainer_name_8,2024-04-03,"['Dairy Housing,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_NXEZ0E,Male,Above 35,Ussd,1,Siaya,Alego Usonga,West Alego,trainer_name_8,2024-04-02,"['Dairy Health Management,Dairy Housing,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_V7HXT9,Female,Above 35,Manual,1,Siaya,Alego Usonga,West Alego,trainer_name_8,2024-04-13,"['Biosecurity In Poultry Farming,Calf Feeding,Dairy Health Management,Dairy Housing,Diseases In Dairy Farming,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Health Management,Poultry Housing,Record Keeping In Dairy']",1,0,,1,0,0,0,0
ID_G6COEX,Male,Above 35,Manual,0,Nandi,Nandi Hills,Chepkunyuk,trainer_name_5,2024-04-02,"['Dairy Hygiene, Health And Feeds,Microp+ Planting', 'Dairy Hygiene, Health And Feeds', 'Microp+ Planting']",3,2,0.0,1,0,0,0,1
